adduser	3.137ubuntu1
libglib2.0-0t64	2.80.0-6ubuntu3.8
libglib2.0-bin	2.80.0-6ubuntu3.8
libglib2.0-data	2.80.0-6ubuntu3.8
libglib2.0-dev	2.80.0-6ubuntu3.8
libglib2.0-dev-bin	2.80.0-6ubuntu3.8
libglpk-dev	5.0-1build2
libglpk40	5.0-1build2
libglu1-mesa	9.0.2-1.1build1
libglvnd0	1.7.0-1build1
libglx-dev	1.7.0-1build1
libglx-mesa0	25.2.8-0ubuntu0.24.04.2
libglx0	1.7.0-1build1
libgmp-dev	2:6.3.0+dfsg-2ubuntu6.1
libgmp10	2:6.3.0+dfsg-2ubuntu6.1
libgmpxx4ldbl	2:6.3.0+dfsg-2ubuntu6.1
libgnutls30t64	3.8.3-1.1ubuntu3.6
libgomp1	14.2.0-4ubuntu2~24.04.1
libgpg-error-l10n	1.47-3build2.1
libgpg-error0	1.47-3build2.1
libgpm2	1.20.7-11
libgprofng0	2.42-4ubuntu2.10
libgraphblas-dev	7.4.0+dfsg-1build1
libgraphblas7	7.4.0+dfsg-1build1
libgraphicsmagick++-q16-12t64	1.4+really1.3.42-1.1build3
libgraphicsmagick-q16-3t64	1.4+really1.3.42-1.1build3
libgraphite2-3	1.3.14-2ubuntu0.24.04.1
libgraphite2-dev	1.3.14-2ubuntu0.24.04.1
libgs-common	10.02.1~dfsg1-0ubuntu7.8
libgs10	10.02.1~dfsg1-0ubuntu7.8
libgs10-common	10.02.1~dfsg1-0ubuntu7.8
libgsl-dev	2.7.1+dfsg-6ubuntu2
libgsl27	2.7.1+dfsg-6ubuntu2
libgslcblas0	2.7.1+dfsg-6ubuntu2
libgssapi-krb5-2	1.20.1-6ubuntu2.8
libgstreamer-plugins-base1.0-0	1.24.2-1ubuntu0.4
libgstreamer1.0-0	1.24.2-1ubuntu0.1
libgtk-3-0t64	3.24.41-4ubuntu1.3
libgtk-3-bin	3.24.41-4ubuntu1.3
libgtk-3-common	3.24.41-4ubuntu1.3
libgudev-1.0-0	1:238-5ubuntu1
libgumbo2	0.12.0+dfsg-2build1
libharfbuzz-cairo0	8.3.0-2build2
libharfbuzz-dev	8.3.0-2build2
libharfbuzz-gobject0	8.3.0-2build2
libharfbuzz-icu0	8.3.0-2build2
libharfbuzz-subset0	8.3.0-2build2
libharfbuzz0b	8.3.0-2build2
libhdf4-0-alt	4.2.16-4build1
libhdf4-alt-dev	4.2.16-4build1
libhdf5-103-1t64	1.10.10+repack-3.1ubuntu4
libhdf5-cpp-103-1t64	1.10.10+repack-3.1ubuntu4
libhdf5-dev	1.10.10+repack-3.1ubuntu4
libhdf5-fortran-102t64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-cpp-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-hl-fortran-100t64	1.10.10+repack-3.1ubuntu4
libhdf5-openmpi-103-1t64	1.10.10+repack-3.1ubuntu4
libheif-dev	1.17.6-1ubuntu4.8
libheif-plugin-aomdec	1.17.6-1ubuntu4.8
libheif-plugin-aomenc	1.17.6-1ubuntu4.8
libheif-plugin-libde265	1.17.6-1ubuntu4.8
libheif1	1.17.6-1ubuntu4.8
libhidapi-libusb0	0.14.0-1build1
libhogweed6t64	3.9.1-2.2build1.1
libhsa-runtime64-1	5.7.1-2build1
libhsakmt1	5.7.0-1build1
libhtml-form-perl	6.11-1
libhtml-format-perl	2.16-2
libhtml-parser-perl	3.81-1ubuntu0.1
libhtml-tagset-perl	3.20-6
libhtml-tree-perl	5.07-3
libhttp-cookies-perl	6.11-1
libhttp-daemon-perl	6.16-1ubuntu0.24.04.1
libhttp-date-perl	6.06-1ubuntu0.24.04.1
libhttp-message-perl	6.45-1ubuntu1
libhttp-negotiate-perl	6.01-2
libhwasan0	14.2.0-4ubuntu2~24.04.1
libhwloc-dev	2.10.0-1build1
libhwloc-plugins	2.10.0-1build1
libhwloc15	2.10.0-1build1
libhwy1t64	1.0.7-8.1build1
libhypre-2.28.0	2.28.0-8build2
libibverbs-dev	50.0-2ubuntu0.2
libibverbs1	50.0-2ubuntu0.2
libice6	2:1.0.10-1build3
libicu-dev	74.2-1ubuntu3.1
libicu74	74.2-1ubuntu3.1
libidn12	1.42-1ubuntu0.1
libidn2-0	2.3.7-2build1.1
libijs-0.35	0.35-15.1build1
libinput-bin	1.25.0-1ubuntu3.7
libinput10	1.25.0-1ubuntu3.7
libio-html-perl	1.004-3
libio-socket-ssl-perl	2.085-1
libio-string-perl	1.08-4
libio-stringy-perl	2.111-3
libipc-run3-perl	0.049-1
libipc-shareable-perl	1.13-1
libipc-system-simple-perl	1.30-2
libipt2	2.0.6-1build1
libisl23	0.26-3build1.1
libitm1	14.2.0-4ubuntu2~24.04.1
libjack-jackd2-0	1.9.21~dfsg-3ubuntu3
libjansson4	2.14-2build2
libjbig-dev	2.1-6.1ubuntu2
libjbig0	2.1-6.1ubuntu2
libjbig2dec0	0.20-1ubuntu0.24.04.1
libjcode-pm-perl	2.06-1.1build1
libjpeg-dev	8c-2ubuntu11
libjpeg-turbo8	2.1.5-2ubuntu2
libjpeg-turbo8-dev	2.1.5-2ubuntu2
libjpeg8	8c-2ubuntu11
libjpeg8-dev	8c-2ubuntu11
libjq-dev	1.7.1-3ubuntu0.24.04.2
libjq1	1.7.1-3ubuntu0.24.04.2
libjs-bootstrap5	5.3.1+dfsg-1
libjs-jquery	3.6.1+dfsg+~3.5.14-1
libjs-jquery-ui	1.13.2+dfsg-1
libjs-mathjax	2.7.9+dfsg-1
libjs-popper.js	1.16.1+ds-6
libjs-sizzle	2.3.10+ds+~2.3.6-1
libjs-sphinxdoc	7.2.6-6
libjs-underscore	1.13.4~dfsg+~1.11.4-3
libjson-c-dev	0.17-1build1
libjson-c5	0.17-1build1
libjson-glib-1.0-0	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2
libjson-perl	4.10000-1
libjson-xs-perl	4.040-0ubuntu0.24.04.1
libjsoncpp25	1.9.5-6build1
libjxl0.7	0.7.0-10.2ubuntu6.1
libk5crypto3	1.20.1-6ubuntu2.8
libkeybinder-3.0-0	0.3.2-1.1build2
libkeyutils1	1.6.3-3build1
libklu2	1:7.6.1+dfsg-1build1
libkml-dev	1.3.0-12build1
libkmlbase1t64	1.3.0-12build1
libkmlconvenience1t64	1.3.0-12build1
libkmldom1t64	1.3.0-12build1
libkmlengine1t64	1.3.0-12build1
libkmlregionator1t64	1.3.0-12build1
libkmlxsd1t64	1.3.0-12build1
libkmod2	31+20240202-2ubuntu7.2
libkpathsea6	2023.20230311.66589-9build3
libkrb5-3	1.20.1-6ubuntu2.8
libkrb5support0	1.20.1-6ubuntu2.8
libksba8	1.6.6-1build1
liblapack-dev	3.12.0-3build1.1
liblapack3	3.12.0-3build1.1
liblapacke	3.12.0-3build1.1
liblapacke-dev	3.12.0-3build1.1
liblatex-tounicode-perl	0.54-2
liblcms2-2	2.14-2ubuntu0.1
libldap-common	2.6.10+dfsg-0ubuntu0.24.04.1
libldap2	2.6.10+dfsg-0ubuntu0.24.04.1
libldl3	1:7.6.1+dfsg-1build1
liblerc-dev	4.0.0+ds-4ubuntu2
liblerc4	4.0.0+ds-4ubuntu2
liblingua-translit-perl	0.29-2
liblist-allutils-perl	0.19-1
liblist-moreutils-perl	0.430-2
liblist-moreutils-xs-perl	0.430-3build5
liblist-someutils-perl	0.59-1
liblist-someutils-xs-perl	0.58-3build4
liblist-utilsby-perl	0.12-2
libllvm17t64	1:17.0.6-9ubuntu1
libllvm20	1:20.1.2-0ubuntu1~24.04.3
liblocale-gettext-perl	1.07-6ubuntu5
liblog-dispatch-perl	2.71-1
liblog-log4perl-perl	1.57-1
liblsan0	14.2.0-4ubuntu2~24.04.1
libltdl-dev	2.4.7-7build1
libltdl7	2.4.7-7build1
liblua5.4-0	5.4.6-3build2
liblwp-mediatypes-perl	6.04-2
liblwp-protocol-https-perl	6.13-1
liblz4-1	1.9.4-1build1.1
liblz4-dev	1.9.4-1build1.1
liblzma-dev	5.6.1+really5.4.5-1ubuntu0.3
liblzma5	5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2	2.10-2build4
libmagic-mgc	1:5.45-3build1
libmagic1t64	1:5.45-3build1
libmail-sendmail-perl	0.80-3
libmailtools-perl	2.21-2
libmd0	1.1.0-2build1.1
libmd4c0	0.4.8-1build1
libmetis5	5.1.0.dfsg-7build3
libmime-charset-perl	1.013.1-2
libmime-lite-perl	3.033-1
libmime-types-perl	2.26-1
libminizip-dev	1:1.3.dfsg-3.1ubuntu2.2
libminizip1t64	1:1.3.dfsg-3.1ubuntu2.2
libmnl0	1.0.5-2build1
libmodule-implementation-perl	0.09-2
libmodule-runtime-perl	0.016-2
libmosquitto1	2.0.18-1build3
libmosquittopp1	2.0.18-1build3
libmotif-common	2.3.8-3.1build1
libmount-dev	2.39.3-9ubuntu6.6
libmount1	2.39.3-9ubuntu6.6
libmp3lame0	3.100-6build1
libmpc3	1.3.1-1build1.1
libmpfr-dev	4.2.1-1build1.1
libmpfr6	4.2.1-1build1.1
libmpg123-0t64	1.32.5-1ubuntu1.1
libmro-compat-perl	0.15-2
libmtdev1t64	1.1.6-1.1build1
libmujs3	1.3.3-3build2
libmumps-5.6t64	5.6.2-2.1build2
libmunge2	0.5.15-4ubuntu0.1
libmysqlclient-dev	8.0.46-0ubuntu0.24.04.4
libmysqlclient21	8.0.46-0ubuntu0.24.04.4
libnamespace-autoclean-perl	0.29-2
libnamespace-clean-perl	0.27-2
libncurses-dev	6.4+20240113-1ubuntu2.2
libncurses6	6.4+20240113-1ubuntu2.2
libncursesw6	6.4+20240113-1ubuntu2.2
libnet-dbus-perl	1.2.0-2build3
libnet-http-perl	6.23-1
libnet-smtp-ssl-perl	1.04-2
libnet-ssleay-perl	1.94-1build4
libnetcdf-dev	1:4.9.2-5ubuntu4
libnetcdf19t64	1:4.9.2-5ubuntu4
libnetplan1	1.1.2-8ubuntu1~24.04.2
libnettle8t64	3.9.1-2.2build1.1
libnewt0.52	0.52.24-2ubuntu2
libnghttp2-14	1.59.0-1ubuntu0.4
libnl-3-200	3.7.0-0.3build1.1
libnl-3-dev	3.7.0-0.3build1.1
libnl-genl-3-200	3.7.0-0.3build1.1
libnl-route-3-200	3.7.0-0.3build1.1
libnl-route-3-dev	3.7.0-0.3build1.1
libnlopt-cxx-dev	2.7.1-5build2
libnlopt-cxx0	2.7.1-5build2
libnlopt-dev	2.7.1-5build2
libnlopt0	2.7.1-5build2
libnode-dev	18.19.1+dfsg-6ubuntu5
libnode109	18.19.1+dfsg-6ubuntu5
libnotify4	0.8.3-1build2
libnpth0t64	1.6-3.1build1
libnspr4	2:4.35-1.1build1
libnss-systemd	255.4-1ubuntu8.17
libnss3	2:3.98-1ubuntu0.2
libnuma-dev	2.0.18-1ubuntu0.24.04.1
libnuma1	2.0.18-1ubuntu0.24.04.1
libnumber-compare-perl	0.03-3
libodbc2	2.3.12-1ubuntu0.24.04.1
libodbccr2	2.3.12-1ubuntu0.24.04.1
libodbcinst2	2.3.12-1ubuntu0.24.04.1
libogdi-dev	4.1.1+ds-3build1
libogdi4.1	4.1.1+ds-3build1
libogg0	1.3.5-3build1
libole-storage-lite-perl	0.22-1
libonig5	6.9.9-1build1
libopenblas-dev	0.3.26+ds-1ubuntu0.1
libopenblas-pthread-dev	0.3.26+ds-1ubuntu0.1
libopenblas0	0.3.26+ds-1ubuntu0.1
libopenblas0-pthread	0.3.26+ds-1ubuntu0.1
libopencv-core-dev	4.6.0+dfsg-13.1ubuntu1
libopencv-core406t64	4.6.0+dfsg-13.1ubuntu1
libopengl0	1.7.0-1build1
libopenjp2-7	2.5.0-2ubuntu0.5
libopenjp2-7-dev	2.5.0-2ubuntu0.5
libopenmpi-dev	4.1.6-7ubuntu2
libopenmpi3t64	4.1.6-7ubuntu2
libopus0	1.4-1build1
liborc-0.4-0t64	1:0.4.38-1ubuntu0.1
libp11-kit0	0.25.3-4ubuntu2.2
libpackage-stash-perl	0.40-1
libpackage-stash-xs-perl	0.30-1build4
libpackagekit-glib2-18	1.2.8-2ubuntu1.5
libpadwalker-perl	2.5-1build6
libpam-cap	1:2.66-5ubuntu2.4
libpam-modules	1.5.3-5ubuntu5.7
libpam-modules-bin	1.5.3-5ubuntu5.7
libpam-runtime	1.5.3-5ubuntu5.7
libpam-systemd	255.4-1ubuntu8.17
libpam0g	1.5.3-5ubuntu5.7
libpango-1.0-0	1.52.1+ds-1build1
libpangocairo-1.0-0	1.52.1+ds-1build1
libpangoft2-1.0-0	1.52.1+ds-1build1
libpaper-utils	1.1.29build1
libpaper1	1.1.29build1
libpapi-dev	7.1.0-5build1
libpapi7.1t64	7.1.0-5build1
libparams-classify-perl	0.015-2build5
libparams-util-perl	1.102-2build3
libparams-validate-perl	1.31-2build3
libparams-validationcompiler-perl	0.31-1
libparse-recdescent-perl	1.967015+dfsg-4
libparu0	1:7.6.1+dfsg-1build1
libpciaccess0	0.17-3ubuntu0.24.04.2
libpcre2-16-0	10.42-4ubuntu2.1
libpcre2-32-0	10.42-4ubuntu2.1
libpcre2-8-0	10.42-4ubuntu2.1
libpcre2-dev	10.42-4ubuntu2.1
libpcre2-posix3	10.42-4ubuntu2.1
libpcsclite1	2.0.3-1build1
libpdfbox-java	1:1.8.16-5
libperl5.38t64	5.38.2-3.2ubuntu0.4
libperlio-utf8-strict-perl	0.010-1build3
libpetsc-real3.19t64	3.19.6+dfsg1-2.2ubuntu2
libpfm4	4.13.0+git32-g0d4ed0e-1ubuntu0.1
libpipeline1	1.5.7-2
libpixman-1-0	0.42.2-1build1
libpkgconf3	1.8.1-2build1
libplot2c2	2.6-14build3
libpmix-dev	5.0.1-4.1build1
libpmix2t64	5.0.1-4.1build1
libpng-dev	1.6.43-5ubuntu0.6
libpng-tools	1.6.43-5ubuntu0.6
libpng16-16t64	1.6.43-5ubuntu0.6
libpolkit-agent-1-0	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0	124-2ubuntu1.24.04.3
libpoppler-dev	24.02.0-1ubuntu9.9
libpoppler-private-dev	24.02.0-1ubuntu9.9
libpoppler134	24.02.0-1ubuntu9.9
libpopt0	1.19+dfsg-1build1
libportaudio2	19.6.0-1.2build3
libpotrace0	1.16-2build1
libpq-dev	16.15-0ubuntu0.24.04.1
libpq5	16.15-0ubuntu0.24.04.1
libproc2-0	2:4.0.4-4ubuntu3.3
libproj-dev	9.4.0-1build2
libproj25	9.4.0-1build2
libprotobuf-dev	3.21.12-8.2ubuntu0.3
libprotobuf-lite32t64	3.21.12-8.2ubuntu0.3
libprotobuf32t64	3.21.12-8.2ubuntu0.3
libprotoc32t64	3.21.12-8.2ubuntu0.3
libpsl5t64	0.21.2-1.1build1
libpsm-infinipath1	3.3+20.604758e7-6.3build1
libpsm2-2	11.2.185-2build1
libpstoedit0t64	4.00-1.1build2
libptexenc1	2023.20230311.66589-9build3
libpthread-stubs0-dev	0.4-1build3
libptscotch-7.0	7.0.4-1ubuntu2
libpython3-dev	3.12.3-0ubuntu2.1
libpython3-stdlib	3.12.3-0ubuntu2.1
libpython3.12-dev	3.12.3-1ubuntu0.17
libpython3.12-minimal	3.12.3-1ubuntu0.17
libpython3.12-stdlib	3.12.3-1ubuntu0.17
libpython3.12t64	3.12.3-1ubuntu0.17
libqhull-dev	2020.2-6build1
libqhull-r8.0	2020.2-6build1
libqhull8.0	2020.2-6build1
libqhullcpp8.0	2020.2-6build1
libqrupdate1	1.1.2-4build1
libqscintilla2-qt5-15	2.14.1+dfsg-1build3
libqscintilla2-qt5-l10n	2.14.1+dfsg-1build3
libqsopt-ex2t64	2.5.10.3-2.1build1
libqt5core5t64	5.15.13+dfsg-1ubuntu1
libqt5dbus5t64	5.15.13+dfsg-1ubuntu1
libqt5gui5t64	5.15.13+dfsg-1ubuntu1
libqt5help5	5.15.13-1
libqt5network5t64	5.15.13+dfsg-1ubuntu1
libqt5printsupport5t64	5.15.13+dfsg-1ubuntu1
libqt5qml5	5.15.13+dfsg-1ubuntu0.1
libqt5qmlmodels5	5.15.13+dfsg-1ubuntu0.1
libqt5quick5	5.15.13+dfsg-1ubuntu0.1
libqt5sql5-sqlite	5.15.13+dfsg-1ubuntu1
libqt5sql5t64	5.15.13+dfsg-1ubuntu1
libqt5svg5	5.15.13-1
libqt5waylandclient5	5.15.13-1
libqt5waylandcompositor5	5.15.13-1
libqt5widgets5t64	5.15.13+dfsg-1ubuntu1
libqt5xml5t64	5.15.13+dfsg-1ubuntu1
libquadmath0	14.2.0-4ubuntu2~24.04.1
librbio4	1:7.6.1+dfsg-1build1
librdmacm1t64	50.0-2ubuntu0.2
libreadline-dev	8.2-4build1
libreadline8t64	8.2-4build1
libreadonly-perl	2.050-3
libref-util-perl	0.204-2
libref-util-xs-perl	0.117-2build4
libregexp-common-perl	2017060201-3
librhash0	1.4.3-3build1
librole-tiny-perl	2.002004-1
librsvg2-2	2.58.0+dfsg-1build1
librsvg2-common	2.58.0+dfsg-1build1
librte-eal24	23.11.4-0ubuntu0.24.04.2
librte-ethdev24	23.11.4-0ubuntu0.24.04.2
librte-hash24	23.11.4-0ubuntu0.24.04.2
librte-kvargs24	23.11.4-0ubuntu0.24.04.2
librte-log24	23.11.4-0ubuntu0.24.04.2
librte-mbuf24	23.11.4-0ubuntu0.24.04.2
librte-mempool24	23.11.4-0ubuntu0.24.04.2
librte-meter24	23.11.4-0ubuntu0.24.04.2
librte-net24	23.11.4-0ubuntu0.24.04.2
librte-rcu24	23.11.4-0ubuntu0.24.04.2
librte-ring24	23.11.4-0ubuntu0.24.04.2
librte-telemetry24	23.11.4-0ubuntu0.24.04.2
librtmp1	2.4+20151223.gitfa8646d.1-2build7
librttopo-dev	1.1.0-3build2
librttopo1	1.1.0-3build2
libruby	1:3.2~ubuntu1
libruby3.2	3.2.3-1ubuntu0.24.04.8
libsamplerate0	0.2.2-4build1
libsasl2-2	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db	2.1.28+dfsg1-5ubuntu3.1
libscalapack-openmpi2.2	2.2.1-3.1ubuntu1
libscotch-7.0	7.0.4-1ubuntu2
libsde1t64	7.1.0-5build1
libseccomp2	2.5.5-1ubuntu3.1
libsecret-1-0	0.21.4-1build3
libsecret-common	0.21.4-1build3
libselinux1	3.5-2ubuntu2.1
libselinux1-dev	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5	1:3.6.0-9build1
libsepol-dev	3.5-2build1
libsepol2	3.5-2build1
libsframe1	2.42-4ubuntu2.10
libsharpyuv-dev	1.3.2-0.4build3
libsharpyuv0	1.3.2-0.4build3
libsigsegv2	2.14-1ubuntu2
libslang2	2.3.3-3build2
libsm6	2:1.2.3-1build3
libsmartcols1	2.39.3-9ubuntu6.6
libsnappy1v5	1.1.10-1build1
libsndfile1	1.2.2-1ubuntu5.24.04.1
libsocl-1.4-1t64	1.4.3+dfsg-5build1
libsodium23	1.0.18-1ubuntu0.24.04.1
libsombok3	2.4.0-2build1
libsort-key-perl	1.33-3build4
libsource-highlight-common	3.1.9-4.3build1
libsource-highlight4t64	3.1.9-4.3build1
libspatialite-dev	5.1.0-3build1
libspatialite8t64	5.1.0-3build1
libspecio-perl	0.48-1
libspex2	1:7.6.1+dfsg-1build1
libspqr4	1:7.6.1+dfsg-1build1
libspreadsheet-parseexcel-perl	0.6600-1
libspreadsheet-writeexcel-perl	2.40-4
libsqlite3-0	3.45.1-1ubuntu2.7
libsqlite3-dev	3.45.1-1ubuntu2.7
libss2	1.47.0-2.4~exp1ubuntu4.1
libssh-4	0.10.6-2ubuntu0.5
libssl-dev	3.0.13-0ubuntu3.15
libssl3t64	3.0.13-0ubuntu3.15
libstarpu-1.4-4t64	1.4.3+dfsg-5build1
libstarpu-dev	1.4.3+dfsg-5build1
libstarpu-openmp-llvm-1.4-1t64	1.4.3+dfsg-5build1
libstarpufft-1.4-1t64	1.4.3+dfsg-5build1
libstarpumpi-1.4-3t64	1.4.3+dfsg-5build1
libstarpurm-1.4-1t64	1.4.3+dfsg-5build1
libstdc++-13-dev	13.3.0-6ubuntu2~24.04.1
libstdc++6	14.2.0-4ubuntu2~24.04.1
libstemmer0d	2.2.0-4build1
libstring-crc32-perl	2.100-2build3
libsub-exporter-perl	0.990-1
libsub-exporter-progressive-perl	0.001013-3
libsub-identify-perl	0.14-3build3
libsub-install-perl	0.929-1
libsub-name-perl	0.27-1build3
libsub-quote-perl	2.006008-1ubuntu1
libsuitesparse-dev	1:7.6.1+dfsg-1build1
libsuitesparse-mongoose3	1:7.6.1+dfsg-1build1
libsuitesparseconfig7	1:7.6.1+dfsg-1build1
libsundials-ida6	6.4.1+dfsg1-3build4
libsundials-nvecparallel-petsc6	6.4.1+dfsg1-3build4
libsundials-sunlinsol3	6.4.1+dfsg1-3build4
libsundials-sunmatrix4	6.4.1+dfsg1-3build4
libsuperlu-dev	6.0.1+dfsg1-1build1
libsuperlu-dist8	8.2.1+dfsg1-1build2
libsuperlu6	6.0.1+dfsg1-1build1
libsynctex2	2023.20230311.66589-9build3
libsys-hostname-long-perl	1.5-3
libsystemd-shared	255.4-1ubuntu8.17
libsystemd0	255.4-1ubuntu8.17
libsz2	1.1.2-1build1
libtasn1-6	4.19.0-3ubuntu0.24.04.2
libtbb-dev	2021.11.0-2ubuntu2
libtbb12	2021.11.0-2ubuntu2
libtbbbind-2-5	2021.11.0-2ubuntu2
libtbbmalloc2	2021.11.0-2ubuntu2
libtcl8.6	8.6.14+dfsg-1build1
libteckit0	2.5.12+ds1-1
libtelepathy-glib0t64	0.24.2-0.2ubuntu3
libtexlua53-5	2023.20230311.66589-9build3
libtext-bibtex-perl	0.89-1build3
libtext-charwidth-perl	0.04-11build3
libtext-csv-perl	2.04-1
libtext-csv-xs-perl	1.53-1build3
libtext-glob-perl	0.11-3
libtext-iconv-perl	1.7-8build3
libtext-roman-perl	3.5-4
libtext-unidecode-perl	1.30-3
libtext-wrapi18n-perl	0.06-10
libthai-data	0.1.29-2build1
libthai0	0.1.29-2build1
libtheora0	1.1.1+dfsg.1-16.1build3
libtie-cycle-perl	1.228-1
libtie-ixhash-perl	1.23-4
libtiff-dev	4.5.1+git230720-4ubuntu2.5
libtiff5-dev	4.5.1+git230720-4ubuntu2.5
libtiff6	4.5.1+git230720-4ubuntu2.5
libtiffxx6	4.5.1+git230720-4ubuntu2.5
libtimedate-perl	2.3300-2
libtinfo6	6.4+20240113-1ubuntu2.2
libtirpc-common	1.3.4+ds-1.1build1
libtirpc-dev	1.3.4+ds-1.1build1
libtirpc3t64	1.3.4+ds-1.1build1
libtk8.6	8.6.14-1build1
libtmglib-dev	3.12.0-3build1.1
libtmglib3	3.12.0-3build1.1
libtool	2.4.7-7build1
libtopcom0t64	1.1.2+ds-1.1build2
libtrilinos-amesos-13.2	13.2.0-5build2
libtrilinos-aztecoo-13.2	13.2.0-5build2
libtrilinos-epetra-13.2	13.2.0-5build2
libtrilinos-epetraext-13.2	13.2.0-5build2
libtrilinos-galeri-13.2	13.2.0-5build2
libtrilinos-ifpack-13.2	13.2.0-5build2
libtrilinos-kokkos-13.2	13.2.0-5build2
libtrilinos-ml-13.2	13.2.0-5build2
libtrilinos-teuchos-13.2	13.2.0-5build2
libtrilinos-trilinosss-13.2	13.2.0-5build2
libtrilinos-triutils-13.2	13.2.0-5build2
libtrilinos-zoltan-13.2	13.2.0-5build2
libtry-tiny-perl	0.31-2
libtsan2	14.2.0-4ubuntu2~24.04.1
libtypes-serialiser-perl	1.01-1
libubsan1	14.2.0-4ubuntu2~24.04.1
libuchardet0	0.0.8-1build1
libucx0	1.16.0+ds-5ubuntu1
libudev1	255.4-1ubuntu8.17
libudunits2-0	2.2.28-7build1
libudunits2-data	2.2.28-7build1
libudunits2-dev	2.2.28-7build1
libuhd4.6.0-dpdk	4.6.0.0+ds1-5.1ubuntu0.24.04.1
libumfpack6	1:7.6.1+dfsg-1build1
libunicode-linebreak-perl	0.0.20190101-1build7
libunicode-map-perl	0.112-13build4
libunistring5	1.1-2build1.1
libunwind8	1.6.2-3build1.1
liburi-perl	5.27-1
liburiparser-dev	0.9.7+dfsg-2build1
liburiparser1	0.9.7+dfsg-2build1
libusb-1.0-0	2:1.0.27-1
libutempter0	1.2.1-3build1
libuuid-perl	0.31-1build3
libuuid1	2.39.3-9ubuntu6.6
libuv1-dev	1.48.0-1.1build1
libuv1t64	1.48.0-1.1build1
libvariable-magic-perl	0.63-1build3
libvisual-0.4-0	0.4.2-2build1
libvorbis0a	1.3.7-1build3
libvorbisenc2	1.3.7-1build3
libvulkan1	1.3.275.0-1build1
libwacom-common	2.10.0-2
libwacom9	2.10.0-2
libwayland-client0	1.22.0-2.1build1
libwayland-cursor0	1.22.0-2.1build1
libwayland-egl1	1.22.0-2.1build1
libwayland-server0	1.22.0-2.1build1
libwebp-dev	1.3.2-0.4build3
libwebp7	1.3.2-0.4build3
libwebpdecoder3	1.3.2-0.4build3
libwebpdemux2	1.3.2-0.4build3
libwebpmux3	1.3.2-0.4build3
libwmflite-0.2-7	0.2.13-1.1build3
libwoff1	1.0.2-2build1
libwww-perl	6.76-1ubuntu0.1
libwww-robotrules-perl	6.02-1
libwxbase3.2-1t64	3.2.4+dfsg-4build1
libwxgtk3.2-1t64	3.2.4+dfsg-4build1
libx11-6	2:1.8.7-1build1
libx11-data	2:1.8.7-1build1
libx11-dev	2:1.8.7-1build1
libx11-protocol-perl	0.56-9
libx11-xcb1	2:1.8.7-1build1
libx265-199	3.5-2build1
libx265-dev	3.5-2build1
libxapian30	1.4.22-1build1
libxau-dev	1:1.0.9-1build6
libxau6	1:1.0.9-1build6
libxaw7	2:1.0.14-1build2
libxcb-cursor0	0.1.4-1build1
libxcb-dri3-0	1.15-1ubuntu2
libxcb-glx0	1.15-1ubuntu2
libxcb-icccm4	0.4.1-1.1build3
libxcb-image0	0.4.0-2build1
libxcb-keysyms1	0.4.0-1build4
libxcb-present0	1.15-1ubuntu2
libxcb-randr0	1.15-1ubuntu2
libxcb-render-util0	0.3.9-1build4
libxcb-render0	1.15-1ubuntu2
libxcb-shape0	1.15-1ubuntu2
libxcb-shm0	1.15-1ubuntu2
libxcb-sync1	1.15-1ubuntu2
libxcb-util1	0.4.0-1build3
libxcb-xfixes0	1.15-1ubuntu2
libxcb-xinerama0	1.15-1ubuntu2
libxcb-xinput0	1.15-1ubuntu2
libxcb-xkb1	1.15-1ubuntu2
libxcb1	1.15-1ubuntu2
libxcb1-dev	1.15-1ubuntu2
libxcomposite1	1:0.4.5-1build3
libxcursor1	1:1.2.1-1build1
libxdamage1	1:1.1.6-1build1
libxdmcp-dev	1:1.1.3-0ubuntu6
libxdmcp6	1:1.1.3-0ubuntu6
libxerces-c-dev	3.2.4+debian-1.2ubuntu2
libxerces-c3.2t64	3.2.4+debian-1.2ubuntu2
libxext6	2:1.3.4-1build2
libxfixes3	1:6.0.0-2build1
libxfont2	1:2.0.6-1+deb13u1build0.24.04.2
libxft2	2.3.6-1build1
libxi6	2:1.8.1-1build1
libxinerama1	2:1.1.4-3build1
libxkbcommon-x11-0	1.6.0-1build1
libxkbcommon0	1.6.0-1build1
libxkbfile1	1:1.1.0-1build4
libxm4	2.3.8-3.1build1
libxml-libxml-perl	2.0207+dfsg+really+2.0134-1build4
libxml-libxml-simple-perl	1.01-3
libxml-libxslt-perl	2.002001-1build3
libxml-namespacesupport-perl	1.12-2
libxml-parser-perl	2.47-1ubuntu0.24.04.1
libxml-sax-base-perl	1.09-3
libxml-sax-expat-perl	0.51-2
libxml-sax-perl	1.02+dfsg-3
